rostime,x_acc,y_acc,z_acc
1592291185.454,0.147,-9.346,-1.51
1592291185.458,0.912,-9.042,-1.373
1592291185.462,1.393,-9.424,-1.795
1592291185.466,1.549,-9.767,-2.795
1592291185.47,1.353,-8.522,-2.52
1592291185.474,0.853,-9.326,-1.971
1592291185.478,-0.147,-10.003,-1.589
1592291185.482,-0.49,-9.022,-1.01
1592291185.485,0.245,-8.904,-0.686
1592291185.489,1.108,-9.483,-1.795
1592291185.493,1.549,-9.248,-2.638
1592291185.497,1.187,-9.022,-2.56
1592291185.501,0.245,-9.846,-2.52
1592291185.505,-0.569,-9.12,-1.834
1592291185.509,-0.451,-9.159,-0.824
1592291185.513,0.412,-9.179,-0.726
1592291185.517,1.314,-10.434,-1.795
1592291185.521,1.334,-9.689,-2.501
1592291185.525,0.53,-9.208,-2.873
1592291185.529,-0.471,-8.885,-2.56
1592291185.533,-1.049,-8.277,-1.491
1592291185.537,-0.686,-9.228,-0.706
1592291185.541,0.049,-9.728,-1.01
1592291185.544,0.99,-9.326,-1.932
1592291185.548,1.451,-9.65,-2.697
1592291185.552,1.01,-9.63,-3.717
1592291185.556,0.147,-8.365,-3.079
1592291185.56,-0.471,-9.061,-1.893
1592291185.564,-0.245,-10.326,-1.491
1592291185.568,0.324,-9.003,-1.569
1592291185.572,0.912,-9.208,-1.628
1592291185.576,1.451,-9.424,-2.579
1592291185.58,1.206,-9.208,-3.481
1592291185.584,0.343,-8.983,-2.638
1592291185.588,-0.265,-9.63,-1.991
1592291185.592,-0.265,-9.669,-1.795
1592291185.596,0.108,-9.208,-1.353
1592291185.6,0.608,-9.189,-1.716
1592291185.603,0.804,-9.748,-2.658
1592291185.607,0.451,-9.424,-3.06
1592291185.611,-0.01,-9.944,-2.795
1592291185.615,-0.343,-9.503,-2.275
1592291185.619,-0.245,-9.101,-1.736
1592291185.623,0.343,-9.208,-1.167
1592291185.627,1.167,-10.003,-1.893
1592291185.631,1.187,-9.307,-2.314
1592291185.635,0.402,-9.503,-2.354
1592291185.639,-0.304,-8.924,-2.638
1592291185.643,-0.824,-8.218,-2.01
1592291185.647,-0.647,-9.287,-1.471
1592291185.651,0.647,-9.728,-2.01
1592291185.655,1.589,-9.669,-2.334
1592291185.659,1.569,-9.365,-2.52
1592291185.662,1.049,-9.061,-2.658
1592291185.666,-0.029,-9.287,-2.079
1592291185.67,-0.745,-9.189,-0.971
1592291185.674,-0.471,-9.669,-0.726
1592291185.678,0.324,-9.905,-1.226
1592291185.682,1.128,-9.561,-2.412
1592291185.686,1.393,-9.061,-3.403
1592291185.69,0.686,-8.767,-3.442
1592291185.694,-0.108,-9.287,-2.697
1592291185.698,-0.431,-9.483,-1.667
1592291185.702,-0.265,-9.189,-0.951
1592291185.706,0.127,-9.326,-0.912
1592291185.71,0.932,-9.542,-1.549
1592291185.714,1.53,-10.091,-2.373
1592291185.717,1.108,-9.787,-2.658
1592291185.721,0.549,-10.111,-2.54
1592291185.725,0.226,-9.444,-1.569
1592291185.729,0.304,-9.14,-0.873
1592291185.733,0.892,-9.63,-1.128
1592291185.737,1.608,-9.522,-1.775
1592291185.741,2.01,-9.905,-2.756
1592291185.745,1.716,-9.189,-2.922
1592291185.749,0.726,-9.689,-2.697
1592291185.753,-0.127,-9.061,-1.814
1592291185.757,-0.167,-9.463,-1.128
1592291185.761,0.471,-10.326,-0.853
1592291185.765,0.892,-10.013,-1.128
1592291185.769,1.206,-9.885,-2.03
1592291185.773,0.834,-9.287,-2.52
1592291185.776,-0.382,-9.022,-2.491
1592291185.78,-0.873,-9.463,-1.677
1592291185.784,-0.382,-9.483,-0.873
1592291185.788,0.471,-9.591,-1.049
1592291185.792,1.245,-9.63,-1.912
1592291185.796,1.373,-9.307,-2.922
1592291185.8,0.951,-9.14,-3.001
1592291185.804,0.431,-9.179,-2.354
1592291185.808,0.304,-9.503,-1.226
1592291185.812,0.471,-10.071,-0.608
1592291185.816,0.51,-8.963,-0.971
1592291185.82,0.549,-9.503,-2.079
1592291185.824,0.53,-9.885,-3.344
1592291185.828,0.029,-8.846,-3.825
1592291185.832,-0.363,-8.944,-2.599
1592291185.835,-0.265,-10.15,-1.393
1592291185.839,0.01,-9.208,-0.628
1592291185.843,0.304,-9.179,-0.667
1592291185.847,0.726,-10.326,-1.893
1592291185.851,0.49,-9.159,-3.462
1592291185.855,-0.226,-9.228,-3.462
1592291185.859,-0.686,-9.307,-2.491
1592291185.863,-0.667,-9.424,-2.01
1592291185.867,-0.647,-8.14,-0.804
1592291185.871,0.0,-9.748,-1.314
1592291185.875,0.471,-9.081,-2.177
1592291185.879,0.382,-9.65,-3.02
1592291185.883,0.265,-9.728,-3.02
1592291185.887,-0.226,-8.865,-2.716
1592291185.891,-0.471,-9.208,-1.893
1592291185.894,-0.108,-9.159,-1.373
1592291185.898,0.726,-10.091,-1.932
1592291185.902,1.294,-9.385,-2.501
1592291185.906,1.393,-9.826,-3.079
1592291185.91,0.431,-9.12,-2.981
1592291185.914,-0.804,-9.022,-2.922
1592291185.918,-1.255,-8.444,-1.834
1592291185.922,-0.471,-10.013,-1.736
